product_type,time_in_transit (hours),temperature_exposure (°C),humidity (%),storage_conditions,shelf_life_left (days)
apple,13.3,28.9,80.8,frozen,22.4
lettuce,30.5,8.1,58.8,cold,0.9
apple,11.5,15.5,70.1,ambient,25.7
lettuce,19.5,7.4,77.7,cold,1.2
cheese,39.6,33.2,53.1,ambient,50.2
yogurt,34.9,20.8,67.2,frozen,6.5
apple,5.3,13.3,77.4,cold,26.4
lettuce,16.8,32.2,81.4,frozen,0.0
milk,40.1,20.1,88.5,ambient,1.0
apple,3.6,1.8,80.3,cold,28.1
banana,28.8,26.2,66.8,frozen,0.0
banana,31.6,19.5,50.9,ambient,0.9
milk,45.8,30.2,66.8,ambient,0.0
apple,36.7,23.2,50.1,frozen,22.7
cheese,21.3,16.9,50.4,frozen,55.5
banana,36.7,30.2,54.8,frozen,0.0
yogurt,32.4,19.7,43.8,ambient,8.1
yogurt,10.3,22.1,68.6,frozen,8.6
yogurt,16.7,2.6,49.3,cold,12.4
yogurt,14.0,23.7,52.2,cold,8.8
yogurt,40.7,6.7,80.4,cold,8.1
banana,34.4,24.8,78.7,frozen,0.0
apple,23.5,20.4,87.6,ambient,22.7
lettuce,2.9,20.3,80.8,frozen,0.1
banana,32.6,24.9,51.2,cold,0.0
milk,36.1,11.9,66.8,cold,4.2
yogurt,24.8,22.6,47.3,frozen,8.1
cheese,16.6,28.4,79.8,ambient,52.2
chicken,23.6,23.4,51.2,cold,0.0
lettuce,20.0,14.4,88.4,cold,0.0
